state,tor_length,tor_width,year,injuries,fatalities,tor_scale_unified
IN,10.6,30.0,2004,0,0,EF1
KS,1.2,75.0,2004,0,0,EF1
KS,0.1,50.0,2004,0,0,EF0
KS,0.1,50.0,2004,0,0,EF0
KS,0.1,50.0,2004,0,0,EF0
IL,18.0,75.0,2004,0,0,EF1
TX,1.0,25.0,2004,0,0,EF0
IL,0.1,10.0,2004,0,0,EF0
KY,1.5,50.0,2004,0,0,EF0
MO,1.0,100.0,2004,0,0,EF0
MO,1.0,150.0,2004,0,0,EF1
MO,1.0,50.0,2004,0,0,EF0
MO,4.0,800.0,2004,6,3,EF4
MO,1.0,50.0,2004,0,0,EF0
MO,1.0,100.0,2004,0,0,EF0
MO,2.0,800.0,2004,0,0,EF4
KS,0.2,50.0,2004,0,0,EF0
KS,0.5,100.0,2004,0,0,EF1
MI,4.0,125.0,2004,0,0,EF1
AL,0.2,50.0,2004,0,0,EF0
KY,0.2,50.0,2004,0,0,EF1
IL,0.1,10.0,2004,0,0,EF0
OK,1.3,200.0,2004,0,0,EF0
OK,1.0,100.0,2004,0,0,EF1
VA,4.3,150.0,2004,0,0,EF1
LA,0.3,25.0,2004,0,0,EF0
TN,7.5,60.0,2004,0,0,EF1
NE,0.5,50.0,2004,0,0,EF0
IL,9.0,75.0,2004,0,0,EF1
CO,9.0,200.0,2004,0,0,EF1
CO,2.0,50.0,2004,0,0,EF0
AL,1.7,150.0,2004,0,0,EF0
KS,2.0,50.0,2004,0,0,EF0
FL,2.0,50.0,2004,0,0,EF0
MO,0.2,40.0,2004,0,0,EF0
IN,0.1,25.0,2004,0,0,EF0
IN,0.1,50.0,2004,0,0,EF0
NE,2.0,200.0,2004,0,0,EF1
NE,6.0,200.0,2004,0,0,EF0
NE,10.0,400.0,2004,0,0,EF1
OH,0.1,33.0,2004,0,0,EF1
IL,0.5,50.0,2004,0,0,EF0
MO,1.0,50.0,2004,0,0,EF0
OK,5.4,200.0,2004,0,0,EF1
IA,1.0,200.0,2004,0,0,EF1
KS,1.5,75.0,2004,0,0,EF0
CO,0.5,50.0,2004,0,0,EF0
CO,0.5,50.0,2004,0,0,EF0
CO,0.5,100.0,2004,0,0,EF1
TX,0.1,25.0,2004,0,0,EF0
MS,0.1,20.0,2004,0,0,EF0
OR,0.5,30.0,2004,0,0,EF0
KS,0.4,50.0,2004,0,0,EF0
OK,4.0,50.0,2004,0,0,EF1
OK,2.0,30.0,2004,0,0,EF1
CO,1.0,75.0,2004,0,0,EF0
WI,0.7,150.0,2004,0,0,EF1
IL,0.5,10.0,2004,0,0,EF0
IL,3.0,30.0,2004,0,0,EF1
IL,3.5,10.0,2004,0,0,EF0
